Title,Description,Link
Lần đầu tiên phát hiện vi nhựa trong phổi người sống,ANHCác nhà khoa học bất ngờ khi phát hiện 11 trong số 13 mẫu xét nghiệm từ người hiến tặng chứa vi nhựa ở sâu dưới phổi.,https://vnexpress.net/lan-dau-tien-phat-hien-vi-nhua-trong-phoi-nguoi-song-4448455.html
Title,Description,Link
,,https://vnexpress.net/canh-quat-turbine-gio-dai-nhat-the-gioi-4448327.html
Title,Description,Link
,,https://vnexpress.net/phat-hien-loai-ran-khuyet-dai-loan-hiem-gap-4448165.html
Title,Description,Link
'Rãnh lửa' sâu 20.000 km trên Mặt Trời,"Các sợi plasma thoát ra từ rãnh lửa sâu ít nhất 20.000 km và dài 200.000 km, xuất hiện trên bề mặt Mặt Trời hôm 3/4.",https://vnexpress.net/ranh-lua-sau-20-000-km-tren-mat-troi-4447975.html
Title,Description,Link
Trung Quốc thử nghiệm xe giao hàng và đổ rác tự lái,Một mẫu xe không người lái có khả năng chở 400 kg hàng hóa hoặc rác y tế đang được thử nghiệm tại bệnh viện dã chiến ở Thượng Hải.,https://vnexpress.net/trung-quoc-thu-nghiem-xe-giao-hang-va-do-rac-tu-lai-4447979.html
Title,Description,Link
Thiết kế thuyền chạy 150 km/h chỉ nhờ sức gió,"THỤY SĨThuyền SP80 được mệnh danh là ""tên lửa biển"" với khả năng lướt nhanh trên những con sóng nhờ một cánh diều lớn.",https://vnexpress.net/thiet-ke-thuyen-chay-150-km-h-chi-nho-suc-gio-4447990.html
Title,Description,Link
Giấy tạo từ phấn hoa có thể in và xóa nhiều lần,Các nhà nghiên cứu Singapore thiết kế loại giấy mới có thể in và xóa tới 8 lần mà không ảnh hưởng tới chất lượng giấy và hình in.,https://vnexpress.net/giay-tao-tu-phan-hoa-co-the-in-va-xoa-nhieu-lan-4447978.html
Title,Description,Link
Lan khổng lồ xuất hiện ở Anh,"Trong lúc đi dạo trên một con dốc gần nhà, cư dân ở hạt Oxfordshire tình cờ phát hiện một loài lan tuyệt đẹp có thể vươn cao 1 m.",https://vnexpress.net/lan-khong-lo-xuat-hien-o-anh-4447505.html
Title,Description,Link
Robot sao Hỏa lập kỷ lục về quãng đường di chuyển trong ngày,"Robot Perseverance của NASA đi được 319,8 m trong ngày sao Hỏa thứ 351, nhiều hơn bất cứ robot nào hoạt động trước đó.",https://vnexpress.net/robot-sao-hoa-lap-ky-luc-ve-quang-duong-di-chuyen-trong-ngay-4447984.html
Title,Description,Link
Sức sống của loài thực vật 3.000 năm tuổi,Cây Welwitschia được ví như hóa thạch sống với khả năng phát triển liên tục trong hàng nghìn năm bất chấp điều kiện khắc nghiệt của sa mạc.,https://vnexpress.net/suc-song-cua-loai-thuc-vat-3-000-nam-tuoi-4447531.html
Title,Description,Link
Cậu bé 10 tuổi tìm thấy con dấu cổ trị giá 5.000 USD,ANHCon dấu còn nguyên vẹn được phát hiện ở Suffolk có hình Đức mẹ Mary đang ôm con và thuộc về một tu viện trưởng sống ở thế kỷ 13.,https://vnexpress.net/cau-be-10-tuoi-tim-thay-con-dau-co-tri-gia-5-000-usd-4447500.html
Title,Description,Link
Hydrogel loại bỏ sỏi thận trong cơ thể,Loại hydrogel mới do một công ty Đức phát triển có thể giúp các bác sĩ xử lý triệt để sỏi thận trong cơ thể bệnh nhân.,https://vnexpress.net/hydrogel-loai-bo-soi-than-trong-co-the-4447510.html
Title,Description,Link
